../index.html,"< Betty's Favourite Links"
http://www.brandsaver.ca/en_ca/,BrandSaver
http://www.canadianfreestuff.com/,"Canadian Free Stuff"
http://www.costco.ca/coupons.html,"CostCo Coupons"
http://flyerland.ca,FlyerLand
http://flyertown.ca,FlyerTown
http://ontario.foodland.ca/Home.aspx,"Foodland Weekly Flyer"
http://www.freshco.com/,FreshCo
http://www.gianttiger.com/,"Giant Tiger"
http://www.groceryalerts.ca/,GroceryAlerts
http://www.metro.ca/home.en.html,Metro
http://MrsJanuary.com/,"Mrs. January"
http://MyMilkCalendar.ca/Honda,MyMilkCalendar
http://pcplus.ca,"President's Choice PCPlus Programs"
https://www.realcanadiansuperstore.ca/,"Real Canadian Superstore Weekly"
http://www.redflagdeals.com/,"Red Flag Deals"
http://www.save.ca/,Save.ca
http://local.flyerservices.com/sdm/sdm/en?postalCode=N5p2m4,"Shoppers DrugMart"
http://SmartCanucks.ca/,SmartCanucks
http://smartsource.ca/,SmartSource.ca
http://www.stealthedeal.com/st-thomas,"StealTheDeal - St. Thomas"
http://www.frugalshopper.ca/,"The Frugal Shopper Canada"
http://www.walmart.ca/en,Walmart
http://WebSaver.ca/,WebSaver.ca
